jk_constituency,jk_candidates,jk_parties,jk_evm_votes,jk_migrant_votes,jk_postal_votes,jk_total_votes,jk_vote_percentages
Baramulla,"['Jahangir Khan', 'Abdul Qayoom Wani', 'Haji Farooq Ahmad Mir', 'Mohammad Akbar Lone', 'Mohd Maqbool War', 'Raja Aijaz Ali', 'Javid Ahmad Qureshi', 'Syed Najeeb Shah Naqvi', 'Engineer Rashid', 'Nota', 'TOTAL']","['Jammu & Kashmir National Panthers Party', 'Jammu & Kashmir Peoples Democratic Party', 'Indian National Congress', 'Jammu & Kashmir National Conference', 'Bharatiya Janata Party', 'Jammu & Kashmir People Conference', 'Independent', 'Independent', 'Independent', 'None Of The Above', 'TOTAL']","[4200, 53300, 34193, 132919, 5500, 102477, 3326, 4945, 100667, 8055, 449582]","[6, 7, 47, 50, 1813, 575, 6, 3, 10, 15, 2532]","[4329, 53530, 34532, 133426, 7894, 103193, 3383, 4967, 102168, 8128, 455550]","[0.95, 11.75, 7.58, 29.29, 1.73, 22.65, 0.74, 1.09, 22.43, 1.78, 100.0]"
Srinagar,"['Sheikh Khalid Jehangir', 'Aga Syed Mohsin', 'Abdual Rashid Ganie', 'Farooq Abdullah', 'Showkat Hussain Khan', 'Abdul Khaliq Bhat', 'Irfan Raza Ansari', 'Nazir Ahmad Lone', 'Nazir Ahmad Sofi', 'Bilal Sultan', 'Sajjad Ahmad Dar', 'Abdul Rashid Banday', 'Nota', 'TOTAL']","['Bharatiya Janata Party', 'Peoples Democratic Party', 'Jammu & Kashmir National Panthers Party', 'Jammu & Kashmir National Conference', 'Janata Dal  (United)', 'Shivsena', 'Jammu & Kashmir People Conference', 'Rashtriya Jankranti Party', 'Manvadhikar National Party', 'Independent', 'Independent', 'Independent', 'None Of The Above', 'TOTAL']","[1962, 36609, 776, 106456, 1245, 574, 28668, 500, 1502, 1623, 610, 1524, 1478, 183527]","[2584, 11, 6, 140, 1, 2, 77, 0, 2, 2, 0, 1, 13, 2839]","[4631, 36700, 791, 106750, 1250, 578, 28773, 506, 1507, 1630, 613, 1537, 1566, 186832]","[2.48, 19.64, 0.42, 57.14, 0.67, 0.31, 15.4, 0.27, 0.81, 0.87, 0.33, 0.82, 0.84, 100.0]"
Anantnag,"['Hasnain Masoodi', 'Ghulam Ahmad Mir', 'Mehbooba Mufti', 'Nisar Ahmad Wani', 'Sofi Yousuf', 'Surinder Singh', 'Sanjay Kumar Dhar', 'Ch. Zaffar Ali', 'Imtiyaz Ahmad Rather', 'Ridwana Sanam', 'Riyaz Ahmad Bhat', 'Zubair Masoodi', 'Mirza Sajad Hussain Beigh', 'Shams Khwaja', 'Ali Mohammad Wani', 'Gh. Mohd. Wani', 'Kyasir Ahmad Sheikh', 'Manzoor Ahmad Khan', 'Nota', 'TOTAL']","['Jammu & Kashmir National Conference', 'Indian National Congress', 'Jammu & Kashmir Peoples Democratic Party', 'Jammu & Kashmir National Panthers Party', 'Bharatiya Janata Party', 'Pragatishil Samajwadi Party (Lohia)', 'Manvadhikar National Party', 'Jammu & Kashmir People Conference', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'None Of The Above', 'TOTAL']","[39898, 32534, 30068, 544, 2436, 173, 577, 1555, 328, 403, 184, 533, 419, 759, 804, 1350, 831, 591, 696, 114683]","[134, 345, 155, 26, 7251, 12, 90, 74, 2, 19, 4, 3, 2, 0, 6, 15, 9, 6, 13, 8166]","[40180, 33504, 30524, 589, 10225, 217, 677, 1646, 382, 455, 194, 547, 425, 760, 814, 1369, 847, 604, 937, 124896]","[32.17, 26.83, 24.44, 0.47, 8.19, 0.17, 0.54, 1.32, 0.31, 0.36, 0.16, 0.44, 0.34, 0.61, 0.65, 1.1, 0.68, 0.48, 0.75, 100.0]"
Ladakh,"['Jamyang Tsering Namgyal', 'Rigzin Spalbar', 'Asgar Ali Karbalai', 'Sajjad Hussain', 'Nota', 'TOTAL']","['Bharatiya Janata Party', 'Indian National Congress', 'Independent', 'Independent', 'None Of The Above', 'TOTAL']","[41315, 20447, 29069, 31552, 910, 123293]","[0, 0, 0, 0, 0, 0]","[42914, 21241, 29365, 31984, 922, 126426]","[33.94, 16.8, 23.23, 25.3, 0.73, 100.0]"
Udhampur,"['Tilak Raj Bhagat', 'Dr. Jitendra Singh', 'Vikramaditya Singh', 'Harsh Dev Singh', 'Lal Singh', 'Mohd Ayub', 'Meenakshi', 'Bansi Lal', 'Rakesh Mudgal', 'Shaber Ahmed', 'Garib Singh', 'Firdous Ahmed Bawani', 'Nota', 'TOTAL']","['Bahujan Samaj Party', 'Bharatiya Janata Party', 'Indian National Congress', 'Jammu & Kashmir National Panthers Party', 'Dogra Swabhiman Sangathan Party,', 'Navarang Congress Party', 'Shivsena', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'None Of The Above', 'TOTAL']","[16442, 715406, 366123, 24135, 18476, 1615, 1574, 1296, 1600, 4425, 4957, 5540, 7506, 1169095]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16601, 724311, 367059, 24319, 19049, 1673, 1660, 1307, 1607, 4442, 4984, 5543, 7568, 1180123]","[1.41, 61.38, 31.1, 2.06, 1.61, 0.14, 0.14, 0.11, 0.14, 0.38, 0.42, 0.47, 0.64, 100.0]"
Jammu,"['Badri Nath', 'Prof. Bhim Singh', 'Jugal Kishore', 'Raman Bhalla', 'Javaid Ahmed', 'Sushil Kumar', 'Syed Aqib Hussain', 'Gursagar Singh', 'Lal Singh', 'Mohd Younis', 'Manish Sahni', 'Ajay Kumar', 'Anil Singh', 'Balwan Singh', 'Bahadur', 'Perseen Singh', 'Tarseem Lal Khullar', 'Rajiv Chuni', 'Subash Chander', 'Satish Poonchi', 'Sakander Ahmad Nourani', 'Syed Zeshan Haider', 'Shazad Shabnam', 'Er. Ghulam Mustafa Chowdhary', 'Nota', 'TOTAL']","['Bahujan Samaj Party', 'Jammu & Kashmir National Panthers Party', 'Bharatiya Janata Party', 'Indian National Congress', 'All India Forward Bloc', 'Hindusthan Nirman Dal', 'Independent People’S Party', 'Navarang Congress Party', 'Dogra Swabhiman Sangathan Party,', 'Jammu & Kashmir Pir Panjal Awami Party', 'Shivsena', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'Independent', 'None Of The Above', 'TOTAL']","[14053, 3705, 840214, 551187, 3833, 1261, 1708, 1086, 6849, 1584, 1157, 915, 2118, 2182, 1180, 2608, 2369, 1257, 3723, 3036, 1410, 1565, 1006, 2738, 2546, 1455290]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14276, 4016, 858066, 555191, 3866, 1281, 1723, 1103, 7539, 1612, 1192, 941, 2131, 2194, 1201, 2612, 2384, 1269, 3739, 3077, 1428, 1582, 1009, 2745, 2618, 1478795]","[0.97, 0.27, 58.02, 37.54, 0.26, 0.09, 0.12, 0.07, 0.51, 0.11, 0.08, 0.06, 0.14, 0.15, 0.08, 0.18, 0.16, 0.09, 0.25, 0.21, 0.1, 0.11, 0.07, 0.19, 0.18, 100.0]"
